=== 1: Old Burmese <<->> ===
== Pattern 1: -:⁵⁵:-:- ==
| ID                                     | OBurm     | Acha-LC              | Maru                | Bola                |
== Pattern 5: -:-:³¹:⁵⁵ ==
| ID                                                         | OBurm    | Acha-LC          | Maru           | Bola                |
|------------------------------------------------------------|----------|------------------|----------------|---------------------|
|                                                            | -        | -                | ³¹             | ⁵⁵                  |
| 1501 ("right")                                             | Ø        | lɔʔ³¹<ʑɔ⁵⁵>pa³¹  | lɔʔ³¹<jɔ³¹>    | laʔ³¹<ja⁵⁵>         |
| 3614 ("divide family property and live apart (offspring)") | Ø        | <in⁵⁵>thɔŋ⁵⁵     | <ja̱m³¹>saŋ³¹   | <ja̱m⁵⁵>saŋ⁵⁵        |
| 4588 ("gall bladder")                                      | Ø        | saŋ³¹<tɕhi³⁵>    | <kji̱k³¹>       | <kji̱⁵⁵>             |
| 9389 ("saw")                                               | Ø        | <lə³¹>           | <jik³¹>        | <jɔt³¹>             |
| 9784 ("sheath / scabbard")                                 | Ø        | mʐau³¹<phak³⁵>   | ʃɛ̃³¹<pjɔ̃³¹>    | ʃɛ̃⁵⁵<pjɔ̃⁵⁵>         |
| 9968 ("side")                                              | Ø        | a³¹<ʑam⁵⁵>       | a³¹<jɛ̃³¹>      | a³¹<jɛ̃⁵⁵>           |
| 10641 ("step / stride")                                    | Ø        | <pa⁵⁵>           | <pjɛ³¹>        | <pjɛ⁵⁵>             |
| 10952 ("surroundings")                                     | Ø        | a³¹<ʑam⁵⁵>       | a³¹<jɛ̃³¹>      | a³¹<jɛ̃⁵⁵>           |
| 12269 ("vicinity / nearby")                                | Ø        | a³¹<ne⁵¹>        | <jɛ̃³¹>         | tʃɔ̱̃³⁵<jɛ̃⁵⁵>         |
| 1066 ("green")                                             | <ñuiw>   | <ȵau⁵⁵>          | <ŋjuk³¹>       | <ŋjuŋ⁵⁵>            |
| 2137 ("house")                                             | <im>     | <in⁵⁵>tɕaŋ⁵⁵     | <ja̱m³¹>khauŋ³¹ | <ja̱m⁵⁵>khauŋ⁵⁵      |
| 3307 ("doze / nod off")                                    | <ip>mak  | <it⁵⁵>mɔʔ⁵⁵mɔʔ⁵⁵ | <ja̱p³¹>mɔʔ³¹   | <ja̱p⁵⁵>maʔ⁵⁵maʔ⁵⁵   |
| 6393 ("stand")                                             | <ryap>   | <ʑap⁵⁵>          | <jɛʔ³¹>        | <jɛʔ⁵⁵>             |
| 9097 ("riddle")                                            | Ø        | xam⁵¹<pin³¹>     | Ø              | mɔ̃³¹<pjaʔ⁵⁵>        |
| 11609 ("thus / this (way) / (like) this")                  | Ø        | <xai⁵⁵>miu⁵⁵     | Ø              | mau³¹mjaŋ⁵⁵<mjaŋ⁵⁵> |
| 5511 ("horn (woodwind)")                                   | khaʔ<ra> | pe³¹<xe³¹>       | pjĭ⁵⁵<khjɛ³¹>  | Ø                   |

== Pattern 6: -:-:³¹:³¹ ==
| ID                                     | OBurm     | Acha-LC      | Maru           | Bola              |
|----------------------------------------|-----------|--------------|----------------|-------------------|
|                                        | -         | -            | ³¹             | ³¹                |
| 2124 ("classifier for people")         | Ø         | <ʑuʔ⁵⁵>      | <jauk³¹>       | <jauʔ³¹>          |
| 2505 ("cooked, be (rice) / done")      | Ø         | <tʂuaʔ⁵⁵>    | <ŋjɔʔ³¹>       | <ŋjaʔ³¹>          |
| 3409 ("drunk, be")                     | Ø         | <et⁵⁵>       | <jik³¹>        | <jɔt³¹>           |
| 6563 ("low / short")                   | Ø         | <ȵ̥on⁵⁵>      | <ŋja̱p³¹>       | <ŋja̱p³¹>          |
| 6759 ("match")                         | Ø         | <ʑaŋ³¹>xɔ⁵⁵  | <jaŋ³¹>xɔ³¹    | <jaŋ³¹>xɔ³¹       |
| 7006 ("monk")                          | Ø         | pɔŋ³¹<tɕi⁵⁵> | puŋ³¹<kji³¹>   | puŋ³¹<kji³¹>      |
| 11092 ("taken hold of, have / gotten") | Ø         | ȵu⁵⁵<ʐua³⁵>  | ɣɔ⁵⁵<ju³¹>     | ɣɔ⁵⁵<ju³¹>        |
| 11743 ("tongs (fire)")                 | Ø         | tam⁵⁵<ȵap⁵⁵> | <ŋjɛʔ³¹>tsai³¹ | <ŋjɛʔ³¹>tsai⁵⁵    |
| 3861 ("face")                          | <mho₂k>   | ȵɔʔ⁵⁵<mui³¹> | <mjɔʔ³¹>khuŋ³⁵ | <mjaʔ³¹>tuŋ³¹     |
| 6063 ("man")                           | <yo₂k>yaḥ | <i³¹>tɕi⁵⁵   | <jauk³¹>kai³¹  | <jauʔ³¹>kai⁵⁵     |
| 1751 ("celebrate (the New Year)")      | Ø         | sa⁵⁵<neʔ⁵⁵>  | Ø              | kɔ³⁵<ŋjɛn³¹>      |
| 10470 ("spring (season)")              | Ø         | lən³¹<sam³¹> | Ø              | kɔ³⁵<ŋjɛn³¹>jaʔ³¹ |

== Pattern 7: -:-:⁵⁵:⁵⁵ ==
| ID                            | OBurm    | Acha-LC     | Maru            | Bola            |
|-------------------------------|----------|-------------|-----------------|-----------------|
|                               | -        | -           | ⁵⁵              | ⁵⁵              |
| 2773 ("cut off / sever")      | Ø        | <ʑit⁵⁵>     | la̱i³⁵<phjik⁵⁵>  | la̱i³⁵<phjɔt⁵⁵>  |
| 5548 ("hot / spicy")          | Ø        | <tshek⁵⁵>   | <phjak⁵⁵>       | <phjak⁵⁵>       |
| 6550 ("lose / mislay")        | Ø        | <tʂɔʔ⁵⁵>    | lɔ̱ʔ⁵⁵<phjauk⁵⁵> | la̱ʔ⁵⁵<phjauʔ⁵⁵> |
| 7976 ("pepper (hot) / chili") | Ø        | <phik⁵⁵>    | tʃhɔ̃³⁵<phjak⁵⁵> | tʃhɔ̃³⁵<phjak⁵⁵> |
| 8535 ("pull down (a house)")  | Ø        | <tʂhuaʔ⁵⁵>  | <phjoʔ⁵⁵>       | <phjaʔ⁵⁵>       |
| 9410 ("scale")                | Ø        | a³¹<tɕet³⁵> | ŋə̆³¹<kjɛ̱ʔ⁵⁵>    | ŋə̆³¹<kjɛ̱ʔ⁵⁵>    |
