# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	ALIGNMENT	CROSSIDS	TMP_STRUCTURE	TMP_TOKENS
9766	Achang_Longchuan	fat (of person)	55	pʐau³¹	p ʐ au ³¹	104	i m r t	pʐ ʐ ʐau ³¹
9769	Maru	fat (of person)	55	tshau³¹	tsh au ³¹	105	i r t	tsh au ³¹
#
10012	Achang_Longchuan	fetch / draw (water) (v.)	56	xam⁵⁵	x a m ⁵⁵	106	i r t	x am ⁵⁵
10569	Maru	fetch / draw (water) (v.)	56	ɣək³¹khɛ̃³¹	ɣ ə k ³¹ + kh ɛ̃ ∼ ³¹	107 106	i r t + i r t	ɣ ək ³¹ + kh ɛ̃∼ ³¹
#
10857	Achang_Longchuan	few	57	nəŋ³¹	n ə ŋ ³¹	108	i r t	n əŋ ³¹
11523	Maru	few	57	ʃau³¹	ʃ au ³¹	109	i r t	ʃ au ³¹
#
10767	Achang_Longchuan	fight / vie for (v.)	58	tsən³¹	ts ə n ³¹	110	i r t	ts ən ³¹
11166	Maru	fight / vie for (v.)	58	la̱t⁵⁵	ˀl a t ⁵⁵	111	i r t	ˀl at ⁵⁵
#
6182	Maru	firewood	59	tʰɔ̃³⁵	t - ɔ̃ ∼ ³⁵	112	i r t	t ɔ̃∼ ³⁵
6428	Achang_Longchuan	firewood	59	tʰuaŋ³¹	t u a ŋ ³¹	112	i m r t	tu u uaŋ ³¹
#
1421	Achang_Longchuan	five	60	ŋɔ³¹	ŋ ɔ ³¹	113	i r t	ŋ ɔ ³¹
1428	Maru	five	60	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	113	i r t	ŋ ɔ ⁵⁵
#
10930	Achang_Longchuan	flat (shallow)	61	phʐap⁵⁵	pʰ ʐ a p ⁵⁵	114	i m r t	pʰʐ ʐ ʐap ⁵⁵
#
11081	Achang_Longchuan	forget (v.)	62	ȵi³⁵	ȵ i ³⁵	115	i r t	ȵ i ³⁵
11084	Maru	forget (v.)	62	tɔ⁵⁵mji̱k⁵⁵	t ɔ ⁵⁵ + ˀm j i k ⁵⁵	116 117	i r t + i m r t	t ɔ ⁵⁵ + ˀmj j jik ⁵⁵
#
1531	Achang_Longchuan	four	63	mi³¹	m i ³¹	118	i r t	m i ³¹
1538	Maru	four	63	pjik³¹	p j i k ³¹	119	i m r t	pj j jik ³¹
#
10866	Achang_Longchuan	fragrant	64	up⁵⁵	/ʔ u p ⁵⁵	120	i r t	ʔ up ⁵⁵
10869	Maru	fragrant	64	xɔm³⁵	x ɔ m ³⁵	121	i r t	x ɔm ³⁵
#
1581	Achang_Longchuan	full	65	pʐəŋ³⁵	p ʐ ə ŋ ³⁵	122	i m r t	pʐ ʐ ʐəŋ ³⁵
1590	Maru	full	65	pjaŋ⁵⁵	p j a ŋ ⁵⁵	122	i m r t	pj j jaŋ ⁵⁵
#
9908	Achang_Longchuan	gnaw / nibble (v.)	66	kʐat⁵⁵	k ʐ a t ⁵⁵	123	i m r t	kʐ ʐ ʐat ⁵⁵
